window,result,iou,gt_id,prediction_id,confidence
window_053,TP,0.919957035436451,1.0,0.0,0.7255106568336487
window_053,TP,0.8406346463591491,2.0,1.0,0.6662685871124268
window_053,FN,,0.0,,
window_053,FN,,3.0,,
window_053,FP,,,2.0,0.4401482343673706
window_054,TP,0.8209662036909493,0.0,1.0,0.353919118642807
window_054,TP,0.6499236170592397,1.0,0.0,0.4090726375579834
window_055,TP,0.7487433105328751,1.0,0.0,0.6209535598754883
window_055,FN,,0.0,,
window_056,TP,0.8819125012274829,2.0,0.0,0.9145987033843994
window_056,FN,,0.0,,
window_056,FN,,1.0,,
window_057,FN,,0.0,,
window_057,FP,,,0.0,0.3818469047546386
window_058,FN,,0.0,,
window_059,TP,0.8792764946103448,0.0,0.0,0.4423606097698211
window_060,FP,,,0.0,0.2587319612503052
window_061,FN,,0.0,,
window_061,FN,,1.0,,
window_061,FN,,2.0,,
window_061,FP,,,0.0,0.6462984681129456
window_061,FP,,,1.0,0.6065349578857422
window_061,FP,,,2.0,0.5574250817298889
window_061,FP,,,3.0,0.5534322261810303
window_061,FP,,,4.0,0.5331742763519287
window_061,FP,,,5.0,0.3396869599819183
window_061,FP,,,6.0,0.2956750988960266
window_062,TP,0.7238391992745716,0.0,0.0,0.8885959386825562
window_063,TP,0.7371623863165088,0.0,0.0,0.7683102488517761
window_064,TP,0.6784726025069998,0.0,0.0,0.8727397918701172
window_064,FN,,1.0,,
window_064,FN,,2.0,,
window_065,TP,0.6110990869742555,0.0,0.0,0.591478168964386
window_065,FN,,1.0,,
window_066,FN,,0.0,,
window_066,FN,,1.0,,
window_067,FP,,,0.0,0.7677276134490967
window_068,TP,0.663715008524467,1.0,0.0,0.761645495891571
window_068,TP,0.6325502136645519,0.0,1.0,0.7100733518600464
window_068,FP,,,2.0,0.5803968906402588
window_068,FP,,,3.0,0.3209292590618133
